,amt_training_data,classifier_name,feature_name,feature_selector,result,split
166,0.1,Naive Bayes,ngrams,None,0.5028901734104047,2
167,0.1,LDA,ngrams,None,0.42196531791907516,2
168,0.2,Nearest Neighbors,ngrams,None,0.5780346820809249,2
169,0.2,Linear SVM,ngrams,None,0.7225433526011561,2
170,0.2,RBF SVM,ngrams,None,0.35260115606936415,2
171,0.2,Decision Tree,ngrams,None,0.7052023121387283,2
172,0.2,Random Forest,ngrams,None,0.4161849710982659,2
173,0.2,AdaBoost,ngrams,None,0.6473988439306358,2
174,0.2,Naive Bayes,ngrams,None,0.653179190751445,2
175,0.2,LDA,ngrams,None,0.5491329479768786,2
176,0.30000000000000004,Nearest Neighbors,ngrams,None,0.6069364161849711,2
177,0.30000000000000004,Linear SVM,ngrams,None,0.7341040462427746,2
178,0.30000000000000004,RBF SVM,ngrams,None,0.35260115606936415,2
179,0.30000000000000004,Decision Tree,ngrams,None,0.7109826589595376,2
180,0.30000000000000004,Random Forest,ngrams,None,0.3699421965317919,2
181,0.30000000000000004,AdaBoost,ngrams,None,0.6069364161849711,2
182,0.30000000000000004,Naive Bayes,ngrams,None,0.6589595375722543,2
183,0.30000000000000004,LDA,ngrams,None,0.5953757225433526,2
184,0.4,Nearest Neighbors,ngrams,None,0.5953757225433526,2
185,0.4,Linear SVM,ngrams,None,0.7745664739884393,2
186,0.4,RBF SVM,ngrams,None,0.35260115606936415,2
187,0.4,Decision Tree,ngrams,None,0.7283236994219653,2
188,0.4,Random Forest,ngrams,None,0.3930635838150289,2
189,0.4,AdaBoost,ngrams,None,0.6069364161849711,2
190,0.4,Naive Bayes,ngrams,None,0.7052023121387283,2
191,0.4,LDA,ngrams,None,0.5722543352601156,2
192,0.5,Nearest Neighbors,ngrams,None,0.653179190751445,2
193,0.5,Linear SVM,ngrams,None,0.7745664739884393,2
194,0.5,RBF SVM,ngrams,None,0.35260115606936415,2
195,0.5,Decision Tree,ngrams,None,0.7167630057803468,2
196,0.5,Random Forest,ngrams,None,0.36416184971098264,2
197,0.5,AdaBoost,ngrams,None,0.6011560693641619,2
198,0.5,Naive Bayes,ngrams,None,0.6705202312138728,2
199,0.5,LDA,ngrams,None,0.6127167630057804,2
200,0.6,Nearest Neighbors,ngrams,None,0.6011560693641619,2
201,0.6,Linear SVM,ngrams,None,0.7630057803468208,2
