,amount,feature_name,result,split
222,0.5,+num_words,0.7109826589595376,4
223,0.5,+ave_word_length,0.7283236994219653,4
224,0.5,+all_words_in_dict,0.7456647398843931,4
225,0.6,ngrams,0.7167630057803468,4
226,0.6,+has_malay_road_tag,0.7283236994219653,4
227,0.6,+num_words,0.7398843930635838,4
228,0.6,+ave_word_length,0.7398843930635838,4
229,0.6,+all_words_in_dict,0.7803468208092486,4
230,0.7000000000000001,ngrams,0.7225433526011561,4
231,0.7000000000000001,+has_malay_road_tag,0.7109826589595376,4
232,0.7000000000000001,+num_words,0.7052023121387283,4
233,0.7000000000000001,+ave_word_length,0.7283236994219653,4
234,0.7000000000000001,+all_words_in_dict,0.7283236994219653,4
235,0.8,ngrams,0.7341040462427746,4
236,0.8,+has_malay_road_tag,0.7514450867052023,4
237,0.8,+num_words,0.7456647398843931,4
238,0.8,+ave_word_length,0.7514450867052023,4
239,0.8,+all_words_in_dict,0.7572254335260116,4
240,0.9,ngrams,0.7630057803468208,4
241,0.9,+has_malay_road_tag,0.7687861271676301,4
242,0.9,+num_words,0.7687861271676301,4
243,0.9,+ave_word_length,0.7745664739884393,4
244,0.9,+all_words_in_dict,0.8034682080924855,4
245,1.0,ngrams,0.7745664739884393,4
246,1.0,+has_malay_road_tag,0.7630057803468208,4
247,1.0,+num_words,0.7630057803468208,4
248,1.0,+ave_word_length,0.7572254335260116,4
249,1.0,+all_words_in_dict,0.7861271676300579,4
250,0.1,ngrams,0.627906976744186,5
251,0.1,+has_malay_road_tag,0.6453488372093024,5
252,0.1,+num_words,0.6453488372093024,5
253,0.1,+ave_word_length,0.6511627906976745,5
254,0.1,+all_words_in_dict,0.6627906976744186,5
255,0.2,ngrams,0.6162790697674418,5
256,0.2,+has_malay_road_tag,0.6802325581395349,5
257,0.2,+num_words,0.6976744186046512,5
258,0.2,+ave_word_length,0.6686046511627907,5
259,0.2,+all_words_in_dict,0.7267441860465116,5
260,0.30000000000000004,ngrams,0.6976744186046512,5
261,0.30000000000000004,+has_malay_road_tag,0.6976744186046512,5
262,0.30000000000000004,+num_words,0.6976744186046512,5
263,0.30000000000000004,+ave_word_length,0.6976744186046512,5
264,0.30000000000000004,+all_words_in_dict,0.7325581395348837,5
265,0.4,ngrams,0.627906976744186,5
266,0.4,+has_malay_road_tag,0.6511627906976745,5
267,0.4,+num_words,0.6569767441860465,5
268,0.4,+ave_word_length,0.6569767441860465,5
269,0.4,+all_words_in_dict,0.7034883720930233,5
270,0.5,ngrams,0.6802325581395349,5
271,0.5,+has_malay_road_tag,0.686046511627907,5
272,0.5,+num_words,0.6918604651162791,5
273,0.5,+ave_word_length,0.6918604651162791,5
274,0.5,+all_words_in_dict,0.7441860465116279,5
275,0.6,ngrams,0.7151162790697675,5
276,0.6,+has_malay_road_tag,0.7151162790697675,5
277,0.6,+num_words,0.7093023255813954,5
278,0.6,+ave_word_length,0.7151162790697675,5
279,0.6,+all_words_in_dict,0.7790697674418605,5
280,0.7000000000000001,ngrams,0.686046511627907,5
281,0.7000000000000001,+has_malay_road_tag,0.7034883720930233,5
282,0.7000000000000001,+num_words,0.7034883720930233,5
283,0.7000000000000001,+ave_word_length,0.7034883720930233,5
284,0.7000000000000001,+all_words_in_dict,0.7790697674418605,5
285,0.8,ngrams,0.7209302325581395,5
286,0.8,+has_malay_road_tag,0.7441860465116279,5
287,0.8,+num_words,0.7441860465116279,5
288,0.8,+ave_word_length,0.75,5
289,0.8,+all_words_in_dict,0.7906976744186046,5
290,0.9,ngrams,0.7267441860465116,5
291,0.9,+has_malay_road_tag,0.7441860465116279,5
292,0.9,+num_words,0.7383720930232558,5
293,0.9,+ave_word_length,0.75,5
294,0.9,+all_words_in_dict,0.7616279069767442,5
295,1.0,ngrams,0.7441860465116279,5
296,1.0,+has_malay_road_tag,0.7441860465116279,5
297,1.0,+num_words,0.7441860465116279,5
298,1.0,+ave_word_length,0.7441860465116279,5
299,1.0,+all_words_in_dict,0.7790697674418605,5
300,0.1,ngrams,0.6235294117647059,6
301,0.1,+has_malay_road_tag,0.6588235294117647,6
302,0.1,+num_words,0.6588235294117647,6
303,0.1,+ave_word_length,0.6647058823529411,6
