,amount,feature_selector,result,split
197,0.30000000000000004,PCA,0.7167630057803468,3
198,0.4,None,0.7456647398843931,3
199,0.4,kthPercentile10,0.7167630057803468,3
200,0.4,kthPercentile25,0.7225433526011561,3
201,0.4,kthPercentile50,0.7456647398843931,3
202,0.4,LinearSVC L1,0.7630057803468208,3
203,0.4,PCA,0.7341040462427746,3
204,0.5,None,0.7167630057803468,3
205,0.5,kthPercentile10,0.7398843930635838,3
206,0.5,kthPercentile25,0.7398843930635838,3
207,0.5,kthPercentile50,0.7225433526011561,3
208,0.5,LinearSVC L1,0.7052023121387283,3
209,0.5,PCA,0.7109826589595376,3
210,0.6,None,0.7341040462427746,3
211,0.6,kthPercentile10,0.7052023121387283,3
212,0.6,kthPercentile25,0.6994219653179191,3
213,0.6,kthPercentile50,0.7398843930635838,3
214,0.6,LinearSVC L1,0.7687861271676301,3
215,0.6,PCA,0.7283236994219653,3
216,0.7000000000000001,None,0.7687861271676301,3
217,0.7000000000000001,kthPercentile10,0.7225433526011561,3
218,0.7000000000000001,kthPercentile25,0.7572254335260116,3
219,0.7000000000000001,kthPercentile50,0.7341040462427746,3
220,0.7000000000000001,LinearSVC L1,0.7630057803468208,3
221,0.7000000000000001,PCA,0.7861271676300579,3
222,0.8,None,0.7687861271676301,3
223,0.8,kthPercentile10,0.7630057803468208,3
224,0.8,kthPercentile25,0.7572254335260116,3
225,0.8,kthPercentile50,0.7803468208092486,3
226,0.8,LinearSVC L1,0.7572254335260116,3
227,0.8,PCA,0.7687861271676301,3
228,0.9,None,0.7630057803468208,3
229,0.9,kthPercentile10,0.7456647398843931,3
230,0.9,kthPercentile25,0.7572254335260116,3
231,0.9,kthPercentile50,0.7687861271676301,3
232,0.9,LinearSVC L1,0.7861271676300579,3
233,0.9,PCA,0.7630057803468208,3
234,1.0,None,0.7687861271676301,3
235,1.0,kthPercentile10,0.7514450867052023,3
236,1.0,kthPercentile25,0.7572254335260116,3
237,1.0,kthPercentile50,0.7803468208092486,3
238,1.0,LinearSVC L1,0.7630057803468208,3
239,1.0,PCA,0.7630057803468208,3
240,0.1,None,0.6936416184971098,4
241,0.1,kthPercentile10,0.6936416184971098,4
242,0.1,kthPercentile25,0.6936416184971098,4
243,0.1,kthPercentile50,0.7052023121387283,4
244,0.1,LinearSVC L1,0.7052023121387283,4
245,0.1,PCA,0.7052023121387283,4
246,0.2,None,0.7687861271676301,4
247,0.2,kthPercentile10,0.7109826589595376,4
248,0.2,kthPercentile25,0.7109826589595376,4
249,0.2,kthPercentile50,0.6820809248554913,4
250,0.2,LinearSVC L1,0.7687861271676301,4
251,0.2,PCA,0.7225433526011561,4
252,0.30000000000000004,None,0.7052023121387283,4
253,0.30000000000000004,kthPercentile10,0.6936416184971098,4
254,0.30000000000000004,kthPercentile25,0.6994219653179191,4
255,0.30000000000000004,kthPercentile50,0.6994219653179191,4
