				0	Malay
				2	British
				2	British
				1	Chinese
				0	Malay
				0	Malay
				0	Malay
				4	Generic
				0	Malay
				2	British
				0	Malay
				4	Generic
				0	Malay
				2	British
				1	Chinese
				0	Malay
				2	British
				2	British
				4	Generic
				1	Chinese
				0	Malay
				4	Generic
				2	British
				0	Malay
				0	Malay
				1	Chinese
				2	British
				0	Malay
				2	British
				2	British
				0	Malay
				0	Malay
				0	Malay
				1	Chinese
				0	Malay
				6	Nature
				0	Malay
				0	Malay
				2	British
				0	Malay
				5	Other
				1	Chinese
				1	Chinese
				2	British
				1	Chinese
				2	British
				5	Other
				1	Chinese
				0	Malay
				1	Chinese
				0	Malay
				5	Other
				0	Malay
				2	British
				0	Malay
				2	British
				2	British
				2	British
				2	British
				4	Generic
				1	Chinese
				0	Malay
				2	British
				0	Malay
				2	British
				0	Malay
				0	Malay
				2	British
				2	British
				4	Generic
				0	Malay
				2	British
				2	British
				2	British
				4	Generic
				0	Malay
				2	British
				0	Malay
				0	Malay
				0	Malay
				0	Malay
				0	Malay
				0	Malay
				0	Malay
				2	British
				2	British
				4	Generic
				1	Chinese
				0	Malay
				2	British
				2	British
				1	Chinese
				1	Chinese
				2	British
				4	Generic
				0	Malay
				4	Generic
				2	British
				0	Malay
				0	Malay
				2	British
				2	British
				5	Other
				0	Malay
				1	Chinese
				5	Other
				0	Malay
				0	Malay
				1	Chinese
				0	Malay
				0	Malay
				0	Malay
				4	Generic
				2	British
				2	British
				1	Chinese
