Sam Leong 	0	4	0	1	Chinese	
Minto 	0	5	0	4	Generic	
Queen Astrid 	0	5.5	0	1	Chinese	
Kampong Bugis 	0	6	0	0	Malay	
Verdun 	0	6	0	2	British	
Seranggong Kechil 	1	8	0	0	Malay	
Kovan 	0	5	0	5	Other	
Makeway 	0	7	0	0	Malay	
Joan 	0	4	0	1	Chinese	
Chulek 	1	6	0	0	Malay	
Rasok 	1	5	0	0	Malay	
Daliah 	1	6	0	0	Malay	
Maple 	0	5	1	4	Generic	
Chong Kuo 	0	4	0	1	Chinese	
Spottiswoode 	0	12	0	2	British	
Weyhill 	0	7	0	2	British	
Pine 	0	4	1	4	Generic	
Sennett 	0	7	0	2	British	
Pinewood 	0	8	1	2	British	
Shaw 	0	4	1	4	Generic	
Willow 	0	6	1	2	British	
D'almeida 	0	9	0	2	British	
Sum Wah Chee 	0	3.3333333333	0	1	Chinese	
